18 Feb 2020 2:15PM,RT @StormIsUponUs: Everything is pointing to a serious biological attack perpetrated by the Deep State elite world order who are gasping th…,AnneKSmith2
18 Feb 2020 2:15PM,RT @CGTNOfficial: A golden retriever was left home alone in the city of Guangzhou south China's Guangdong Province without food or water…,nineyoii
18 Feb 2020 2:15PM,RT @globaltimesnews: R.I.P. Liu Zhiming director of Wuchang Hospital in coronavirus epicenter #Wuhan passed away Tuesday due to #COVID19…,BWISTEAM_ATL
18 Feb 2020 2:15PM,RT @nrajabpcl: @ToTheeePoint @chitranayal09 @LaxmanManjunath @RD_BANA @VarierSangitha @NationalistIn14 @sushilsuni @TheIndianMukesh @brahma…,nrajabpcl
18 Feb 2020 2:15PM,RT @AMFChina: “Massive financial collapse bursting of the assets bubble an exodus of foreign companies and large-scale bankruptcies all l…,beewong8866
18 Feb 2020 2:15PM,RT @BNODesk: BREAKING: Liu Zhiming the head of Wuchang Hospital in Wuhan has died of coronavirus - CCTV,aususa7
18 Feb 2020 2:15PM,RT @JenniferHYChan: Inside the #FangCang hospital in #Wuhan. Netizens: No nurses? Only police patrolling make sure people don’t escape. L…,KellyLam1
18 Feb 2020 2:15PM,RT @raishussin: How Singapore got rid of corruption ... ,Qaidd_
18 Feb 2020 2:15PM,RT @guardianopinion: As Wuhan’s desperate and sick beg for help China shuts them down | Anonymous ,wavetop
18 Feb 2020 2:15PM,RT @worldupdate____: Repost ↪️Footage: awful conditions inside of #Huoshenshan hospital.There is a major leak inside of the hospital th…,josephtsukka
18 Feb 2020 2:15PM,RT @StormIsUponUs: Everything is pointing to a serious biological attack perpetrated by the Deep State elite world order who are gasping th…,ChristinePolon1
18 Feb 2020 2:15PM,RT @sportsdeskph: 'ONE: King of the Jungle' scheduled for February 28 at the Singapore Indoor Stadium is a closed for broadcast only event.…,cnnphilippines
18 Feb 2020 2:15PM,RT @StormIsUponUs: Everything is pointing to a serious biological attack perpetrated by the Deep State elite world order who are gasping th…,MrCryptoJones
18 Feb 2020 2:15PM,RT @DrEricDing: We have now passed 2x the number of deaths as SARS (and in much less time than SARS’s 9 months to hit 800). #SARSCoV2 https…,QuitoDelaCruz
18 Feb 2020 2:15PM,RT @AFP: In Wuhan exercise for the mildly ill treatment for others and a rare break ,zacharyisonfire
18 Feb 2020 2:15PM,RT @SeraphimDreamer: On a serious note I’m gonna talk about the coronavirus COVID-19 in Singapore. As many here are into a Chinese fandom…,1zhen_
18 Feb 2020 2:15PM,RT @MichaelCoudrey: BREAKING: Many leading Chinese scientists are starting to speak out and say COVID-19 (coronavirus) originated at a gove…,PEAOND
18 Feb 2020 2:15PM,RT @KingJHip: @StormIsUponUs I’ve been saying this essentially from the jump “They” are lying about the number of infected and dead. Burni…,grannyE15
18 Feb 2020 2:15PM,RT @CGTNOfficial: Liu Zhiming director of Wuhan Wuchang Hospital dies from new #coronavirus CCTV reporter quotes Peking Union Medical Co…,melon30213482
18 Feb 2020 2:15PM,RT @rthk_enews: Liu Zhiming's death was initially reported by the local media and bloggers – but the stories were later deleted and replace…,beewong8866
18 Feb 2020 2:15PM,RT @Tomo20309138: 2/... decreed by Heaven when the incumbent emperor is found lacking in moral virtue.  It is a well-known fact that Sun…,9b3OR2qdITMbDcd
18 Feb 2020 2:15PM,RT @cryptocom: XSGD - The Singapore dollar stablecoin developed by Xfers and Zilliqa first listed on . Full deta…,AuhsojNeek
18 Feb 2020 2:15PM,RT @CamiP934: Billionaire Whistleblower: Wuhan Coronavirus Death Toll Is Over 50000    #CoronaVirusChina#CoronaVirusWuhan China is Lyin…,CarolJean32
18 Feb 2020 2:15PM,RT @Frontalfire: This is not Wuhan China this is Karachi Pakistan. 50 new cases from Gas leak reported just now. DISASTER. …,MonstersAreBad
18 Feb 2020 2:15PM,RT @rthk_enews: Liu Zhiming's death was initially reported by the local media and bloggers – but the stories were later deleted and replace…,igaode
18 Feb 2020 2:15PM,RT @StormIsUponUs: Everything is pointing to a serious biological attack perpetrated by the Deep State elite world order who are gasping th…,transport70mph
18 Feb 2020 2:15PM,RT @guardianopinion: As Wuhan’s desperate and sick beg for help China shuts them down | Anonymous ,Kelly52771463
18 Feb 2020 2:15PM,RT @CNNAfrica: Nigerians in Wuhan the epicenter of the coronavirus outbreak in China say they’ve been abandoned by their country.“I don…,diamondAddict1
18 Feb 2020 2:15PM,RT @ParamakudiL: BREAKING :  #Darbar @ Singapore BO :Beat #Petta  #Bigil and #Viswasam ! 👉 1.2 M Box Office Collection 👏,rajiniclub
